Id,Name,ProducerId,Appellation,Country,Region,WineType,PRODUCER_SALESFORCE_ID
3033,"Due, Seiuno Otto",1470,,Italy,Tuscany,Red wine,a0F1X0000005aemUAA
2735,"Volnay ""Les Vieilles Vignes""",1362,,France,Burgundy,Red wine,a0F1X0000005arSUAQ
3047,La Haye Dampierre,1478,,France,Loire,Red wine,a0F1X0000005a9bUAA
7710,Faugères,3065,,France,Languedoc-Roussillon,Red wine,a0F1X0000005aTZUAY
3085,"Chianti Classico Riserva ""Rancia""",1385,,Italy,Tuscany,Red wine,a0F1X0000005aXAUAY
3087,"Brunello di Montalcino ""La Cerbaiola""",1327,,Italy,Tuscany,Red wine,a0F1X0000005anQUAQ
7712,"Egri Bikavér Superior ""Merengó""",3067,,Hungary,Eger,Sweet wine,a0F1X0000005ap0UAA
2965,"Barolo ""Sarmassa di Barolo""",1228,,Italy,Piemonte,Red wine,a0F1X0000005amqUAA
7705,"LaVia ""Viñedos de Altura""",3061,,Spain,Murcia,Red wine,a0F1X0000005aBTUAY
214,"Riesling Trocken ""Vulkangestein""",1575,,Germany,Nahe,White wine,a0F1X0000005ao1UAA
216,"Riesling Trocken GG ""Pittermännchen""",1945,,Germany,Nahe,White wine,a0F1X0000005aOiUAI
220,"Riesling Trocken GG ""Bastei""",103,,Germany,Nahe,White wine,a0F1X0000005aZxUAI
7709,Mephisto,42,,France,Vin de France,Red wine,a0F1X0000005aQwUAI
7713,Montepulciano d'Abruzzo,3068,,Italy,Abruzzo,Red wine,a0F1X0000005aYVUAY
3081,"Chianti Classico Gran Selezione ""Vigna Del Sorbo""",1204,,Italy,Tuscany,Red wine,a0F1X0000005aXaUAI
2821,"Riesling Spätlese ""Scharzhofberger""",654,,Germany,Mosel,White wine,a0F1X0000005aWDUAY
3155,"Barolo ""La Villa""",1536,,Italy,Piemonte,Red wine,a0F1X0000005aoEUAQ
7730,"Barolo ""Garretti""",3235,,Italy,Piemonte,Red wine,a0F1X0000005adnUAA
7715,"Brunello di Montalcino ""Esperienza Numero 8""",3070,,Italy,Tuscany,Red wine,a0F1X0000005amtUAA
10205,"Rosso ""Orchidea""",3889,,Italy,Tuscany,Red wine,a0F1X0000005aX2UAI
7719,"Pinot Noir ""Niederösterreich""",3073,,Austria,Niederösterreich,Red wine,a0F1X0000005af2UAA
7720,"Pinot Noir ""Terrassen""",3073,,Austria,Niederösterreich,Red wine,a0F1X0000005af2UAA
3236,Grange des Péres,1565,,France,Vin de Pays,Red wine,a0F1X0000005aZWUAY
7746,Latour à Pomerol,3094,,France,Bordeaux,Red wine,a0F1X0000005aJdUAI
7729,Malterdinger,1474,,Germany,Baden,Red wine,a0F1X0000005aAuUAI
134,"Chateauneuf-du-Pape Rouge ""Cuvée Laurence""",53,,France,Rhone,Red wine,a0F1X0000005aRxUAI
7731,The Butcher,3079,,Austria,Burgenland,Red wine,a0F1X0000005ao9UAA
7733,"Pinot Noir ""P""",3081,,Austria,Wagram,Red wine,a0F1X0000005aY9UAI
3192,Bonnes Mares Grand Cru,1339,,France,Burgundy,Red wine,a0F1X0000005aRfUAI
7752,"Barolo ""Perno""",3097,,Italy,Piemonte,Red wine,a0F1X0000005aWLUAY
9381,"Riesling GG ""Schäwer Burrweiler""",3603,,Germany,Pfalz,White wine,a0F1X0000005ah3UAA
7727,Serpico,3078,,Australia,South Australia,Red wine,a0F1X0000005ahSUAQ
3235,"Cornas ""Les Chailles""",1564,,France,Rhone,Red wine,a0F1X0000005a8dUAA
7728,Jester,3078,,Australia,South Australia,Red wine,a0F1X0000005ahSUAQ
7756,Corton Pougets Grand Cru,265,,France,Burgundy,Red wine,a0F1X0000005afGUAQ
3270,Barolo Bussia,1580,,Italy,Piemonte,Red wine,a0F1X0000005aoQUAQ
7716,Courage,3071,,Hungary,Badacsony,Red wine,a0F1X0000005a8CUAQ
7718,Dingac,3072,,Croatia,Peljesac Peninsula,Red wine,a0F1X0000005acqUAA
